Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18606562977,19682883149,19922563188,21539843446,23801123808,25976164156,27307844369,30442724871,32714085234,36683365869,41333606613,45216647235,52040887850,63830877643,88963890936,97303017889,105059000000,110350000000,118492000000,134898000000,149986000000,176893000000,194038000000,177265000000,193519000000,180637000000,182476000000,189487000000,236154000000,299872000000,311421000000,325967000000,325518000000,312128000000,322802000000,368166000000,401342000000,435643000000,399674000000,389652000000,416168000000,379629000000,395789000000,467739000000,614660000000,695693000000,748418000000,855007000000,1056110000000,928762000000,1148890000000,1398700000000,1547650000000,1577300000000,1468600000000,1351770000000,1207580000000,1326880000000,1429730000000,1394670000000,1330380000000,1559030000000,1692960000000,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,124168000000,133339000000,133106000000,166463000000,173794000000,195078000000,190380000000,203535000000,241038000000,237251000000,212790000000,218260000000,217259000000,197290000000,197509000000,214395000000,262274000000,301458000000,316092000000,336280000000,389186000000,432052000000,401759000000,392275000000,431685000000,409402000000,430191000000,442585000000,381971000000,395837000000,417261000000,454991000000,444596000000,435049000000,479295000000,470942000000,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848485,5344000000,444658671.6,1570392598,1193141110,2417331193,3176507376,3962362387,4446368571,4581248567,5272615723,5707616204,6236087738,7276413079,8680405741,13245421881,20981929498,33049419431,48851293785,44292427185,52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78721058824,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261,2775798697,3338722828,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26706196047,29821661870,37209418019,47743801490,56033077879,65678189097,71113882968,82839905459,101247000000,116315000000,126829000000,104730000000,92095926188,87184239053,83349530159,86268264148,120019000000,149394000000,162299000000,164221000000,205332000000,210511000000,234782000000,224722000000,244884000000,288026000000,279201000000,252708000000,258528000000,258246000000,236792000000,236746000000,258384000000,318083000000,369215000000,385715000000,408260000000,470922000000,517328000000,483254000000,481421000000,523330000000,496153000000,521791000000,535390000000,462336000000,476063000000,502765000000,543299000000,535866000000,526264000000,600749000000,583436000000,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.4,235668220.5,236434954,253927697.3,269819005.9,289908680.4,302925235.2,306221953.1,326323105.3,330748244.5,333627713.5,335073027.5,410331857,504376074.2,554654860.7,676870140.3,698408261.9,750049778.8,928843469.4,1186231020,1405251847,1291120188,1267778670,1095348199,1051134009,1045712789,1336102025,1562412228,1620246084,1502294416,1959965330,1986437797,1695315306,2274558083,1598075944,2169627138,2361116449,2268301646,2455092686,3677393999,3519991440,3666222635,4194342686,5349258094,6190270380,6567654954,7034111315,8169048383,9787734526,9738626517,9535345016,10693321364,11141358116,12517845124,13284527847,11388160997,11821065852,12701655846,14262408080,14390708757,15686741894,17687623535,17396792700,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.8,350247234.3,379567099.2,394040667.1,410321645,422916789.7,433889766.2,450753923.5,460442689.4,478298645.4,458404268.8,482411179.1,578595522,674773569.9,751133430.4,939972703.5,976547188.1,1131224878,1475583645,1748480621,1928719888,1775842334,1754450096,1600278605,1459880132,1552493196,2036303358,2369834950,2616040479,2615587734,3101300779,3135045584,3356692505,3199536465,1895290637,2379517975,2586550595,2447669102,2804902367,3389566713,2968370088,3190371081,3622350063,4740768143,5451688538,6146353173,6547419820,7625722837,9451435490,9450696873,10109619741,12080295978,12561015157,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813502,17725010531,19642668880,18820064798,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083,4817580375,5081413542,5319458563,5386054833,5906636792,6439687854,7253575688,7483685771,8471006438,8992722167,8751843188,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005558,28781715189,31598340778,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,102478000000,115279000000,128638000000,133356000000,149991000000,172885000000,195079000000,265236000000,293755000000,321379000000,351238000000,373902000000,416265000000,460201000000,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10832064942,9697416974,18991484420,12294964838,11316127379,15031055047,13627325461,13245990274,14183446026,16403043850,21144957990,26157743369,29868657858,34380536496,44432811756,54480684188,52023801230,50760929303,57737040780,54288135059,55852123990,57157782910,50811995689,53964253212,59309748166,66370132238,68881010246,70368758395,84041493016,90346169915,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713,39288670213,44383297872,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.6,190098039.2,212254902,237745098,266666666.7,300392156.9,340000000,390196078.4,444901960.8,528137254.9,538423153.7,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720400000,10395500000,10974800000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000,12897400000,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671909673,4116774301,4686256363,5567772769,5800615466,6728220887,8498894359,10156541538,11222796337,12864841906,15778734264,19112796623,17613949091,17176315804,18644233537,17226735996,18179108531,18558733564,16404348871,17116926328,18326373366,20484053869,20482608755,20226036564,23649568277,24473906674,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000000,16416666667,14952100840,13970425777,14756846154,14130585516,15221352699,12138243081,12736780455,12354820144,14594900945,17825444724,23141566293,30210091837,36961894281,45275711996,60752106347,50873167326,57231904543,61762382328,65685890439,75527558966,78812805039,56454889147,47723545321,54725302250,60031173808,64410122847,61371755326,69673747132,72793457588,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.07,29964999.97,31857591.86,33750113.75,36194586.19,40110040.11,44450044.45,47431255.75,44999910,47399905.2,53339893.32,59074687.2,65998069.38,78214767.83,103160450.4,118194026.3,97094227.23,117650000,136300000,151800000,197938222.4,196089854.7,182206327,192103186,214381949,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,545686365.5,594975697,693625168.2,750018765.3,769649509.5,816491620.2,848205276.9,870861115.2,926550756,996906468.7,1134756761,1168127974,1240059540,1303381861,1394273991,1468145956,1584207353,1699214299,1731921564,1681473348,1739070295,1818831938,1899503250,2021757434,2125125606,2194709309,2240593543,2266664817,2292787336,2386792476,2047727810,2424575179,2830507576,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466652.59,89249985.13,94149984.31,96366650.61,107566648.7,114339050.3,134173375.3,155102980.1,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000,7546000000,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373250000,406000000,443916666.7,478000000,538583333.3,598333333.3,662500000,748250000,849333333.3,920333333.3,1006833333,1084666667,1286153846,1263600000,2101300000,2405900000,2733350000,3229050000,3760100000,4510500000,4450368037,5778487837,5600385568,5414008064,6169304492,5377276657,3959383520,4347956338,4597611710,4715973437,4867582598,5343262457,5643868749,5734699489,5981222859,6715161732,7396949126,7925736821,8497494652,8285064435,8397855485,8141516928,7905485146,8082399640,8773451752,9549122905,11451844902,13120108008,16674276286,17339992194,19649723722,23963164697,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40406111695,44008282878,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425595000000,461952000000,407338000000,390590000000,438302000000,546230000000,769333000000,850426000000,883206000000,863711000000,599642000000,655448000000,559984000000,509795000000,558234000000,669289000000,891634000000,1107630000000,1397110000000,1695860000000,1667000000000,2208840000000,2616160000000,2465230000000,2472820000000,2456040000000,1802210000000,1795690000000,2063510000000,1916930000000,1873290000000,1476110000000,1649620000000,1920100000000,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,311809337.5,402178605,435911268.6,495097667.9,552883707.1,670362452.1,1012280615,1114204743,1163923830,1236016507,1346890071,1409536121,1547755183,1704370308,1812757918,2006165167,2012131457,2020583702,1957000000,2063342117,2151344901,2216974096,2363645403,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450000,4674000000,4785250000,4465500000,4531150000,4656400000,4613850000,4685550000,4707600000,4734000000,4843300000,4992300000,5110250000,5341100000,4738800000,4923100000,5699950000,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114039500.6,132757528,139029537.2,160818235.9,161210236.4,179078929.3,197525767.8,270822782,433095526.7,1073591624,1168304306,1423037167,1732721161,1941579358,2803834158,4928806543,4366230383,4264202521,3844632167,3782553234,3523532486,2358574403,2754485672,2690684125,2985532273,3520487627,3701774189,4183632940,4105729021,4087220219,4734103536,5115454090,5197311972,4051142386,4600116699,6001282104,5601018684,5843368268,6557397070,7872202803,9531420028,11470464771,12247677994,14393434225,10732595016,13707280260,18525128526,19048443341,18094321617,17097802753,12930291488,11400466356,12128183904,13566937674,13469235365,12005799654,14006496617,16681536467,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,128669200.9,139174178.1,141439317.4,156704289.9,160423494,163288815.3,191218115.5,242742766.4,272298066.5,264798626.2,287765007.1,240294286,240233531.2,225973692.8,258954708,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,424448931,461479581.8,520846133.5,603999374.5,682577068.5,796938572,874989741.1,1168307584,1227809270,1234015133,1547990912,1777102573,1781280182,1756214316,1907090376,2003596839,2158971711,2591358114,2583335724,2735683409,2457604043,2768003873,,
